num_id,id,name,category,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
12,3d-glasses,3D Glasses,Accessories,NA,122,bells,490,bells,NA,NA,NA,NA,nh,item-3d-glasses,https://villagerdb.com/images/items/full/3d-glasses.b8e1b5a.png
14,a-tee,A Tee,Tops,NA,140,bells,560,bells,NA,NA,NA,NA,nh,item-a-tee,https://villagerdb.com/images/items/full/a-tee.a1af443.png
19,academy-uniform,Academy Uniform,Dresses,NA,520,bells,2080,bells,NA,NA,NA,NA,nh,item-academy-uniform,https://villagerdb.com/images/items/full/academy-uniform.4475eb5.png
20,acanthostega,Acanthostega,Fossils,FALSE,2000,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-acanthostega,https://villagerdb.com/images/items/thumb/acanthostega.0611938.png
21,accessories-stand,Accessories Stand,Furniture,TRUE,375,bells,1500,bells,Nook's Cranny,FALSE,NA,NA,nh,item-accessories-stand,https://villagerdb.com/images/items/thumb/accessories-stand.7707e11.png
23,acid-washed-jacket,Acid-washed Jacket,Tops,TRUE,420,bells,1680,bells,Able Sisters,NA,NA,NA,nh,item-acid-washed-jacket,https://villagerdb.com/images/items/full/acid-washed-jacket.4cb3530.png
24,acid-washed-jeans,Acid-washed Jeans,Bottoms,TRUE,330,bells,1320,bells,Able Sisters,NA,NA,NA,nh,item-acid-washed-jeans,https://villagerdb.com/images/items/full/acid-washed-jeans.b25de9d.png
26,acnh-nintendo-switch,Acnh Nintendo Switch,Furniture,TRUE,8990,bells,35960,bells,Receive in mail if playing on ACNH Switch,FALSE,NA,NA,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
26,acnh-nintendo-switch,Acnh Nintendo Switch,Furniture,TRUE,8990,bells,35960,bells,Nook Shopping,FALSE,NA,NA,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
28,acorn-knit-cap,Acorn Knit Cap,Hats,NA,220,bells,880,bells,NA,NA,NA,NA,nh,item-acorn-knit-cap,https://villagerdb.com/images/items/full/acorn-knit-cap.690efe4.png
29,acorn-pochette,Acorn Pochette,Accessories,NA,2400,bells,9600,bells,NA,NA,NA,NA,nh,item-acorn-pochette,https://villagerdb.com/images/items/full/acorn-pochette.0127660.png
30,acorn,Acorn,Usables,NA,200,bells,NA,NA,NA,NA,NA,NA,nh,item-acorn,https://villagerdb.com/images/items/thumb/acorn.55cdd99.png
